Census Tract,County,Total:,Total:!!White alone,Total:!!Black or African American alone,Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Some other race alone,Total:!!Two or more races:,Total:!!Two or more races:!!Two races including Some other race,"Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
4506.04,Alameda,"5,345","3,131",31,0,"1,438",0,293,452,97,355
4506.05,Alameda,"3,815","2,398",16,14,"1,102",75,34,176,72,104
4506.06,Alameda,"6,059","3,491",14,40,"2,175",0,31,308,79,229
4506.07,Alameda,"5,360","2,613",87,0,"2,056",0,309,295,182,113
4506.08,Alameda,"4,773","2,332",185,4,"2,026",0,7,219,7,212
4506.09,Alameda,"4,988","2,690",185,0,"1,663",0,1,449,265,184
4507.01,Alameda,"8,399","4,375",123,2,"3,450",0,21,428,176,252
4507.41,Alameda,"5,936","3,340",140,55,"1,198",0,491,712,446,266
4507.42,Alameda,"5,419","3,313",35,0,"1,429",0,250,392,98,294
4507.43,Alameda,"7,056","1,624",288,166,"4,043",13,307,615,112,503
4507.44,Alameda,"5,950","3,484",24,50,"2,018",22,94,258,0,258
4507.45,Alameda,"6,493","2,219",23,15,"3,918",0,136,182,0,182
4507.46,Alameda,"3,531","2,414",30,0,838,0,84,165,55,110
4507.5,Alameda,"5,933","1,408",289,32,"3,691",23,141,349,57,292
4507.51,Alameda,"11,489","1,510",292,6,"9,277",18,56,330,50,280
4507.52,Alameda,"7,680","1,837",251,5,"4,963",59,162,403,102,301
4511.02,Alameda,"4,071","3,397",25,9,366,0,70,204,19,185
4511.03,Alameda,"1,795","1,514",15,0,61,99,93,13,0,13
4511.04,Alameda,"7,280","4,311",103,20,"1,823",68,526,429,253,176
4512.01,Alameda,"7,683","5,311",191,121,"1,114",2,328,616,135,481
4512.02,Alameda,"5,230","3,021",22,0,"1,419",28,119,621,327,294
4513,Alameda,"7,013","4,921",82,15,641,24,404,926,240,686
4514.01,Alameda,"6,336","3,724",345,0,773,0,389,"1,105",655,450
4514.03,Alameda,"2,367","1,691",18,0,237,0,192,229,61,168
4514.04,Alameda,"7,261","4,740",114,35,306,2,"1,388",676,374,302
